oa11,Final_Rurality,FundingStreamEligibilty
E00000755,Urban,UCEF
E00000756,Urban,UCEF
E00000757,Urban,UCEF
E00000758,Urban,UCEF
E00000760,Urban,UCEF
E00000761,Urban,UCEF
E00000762,Urban,UCEF
E00000763,Urban,UCEF
E00000764,Urban,UCEF
E00000765,Urban,UCEF
E00000766,Urban,UCEF
E00000767,Urban,UCEF
E00000768,Urban,UCEF
E00000769,Urban,UCEF
E00000770,Urban,UCEF
E00000771,Urban,UCEF
E00000772,Urban,UCEF
E00000773,Urban,UCEF
E00000774,Urban,UCEF
E00000775,Urban,UCEF
E00000776,Urban,UCEF
E00000777,Urban,UCEF
E00000778,Urban,UCEF
E00000779,Urban,UCEF
E00000780,Urban,UCEF
E00000781,Urban,UCEF
E00000782,Urban,UCEF
E00000783,Urban,UCEF
E00000785,Urban,UCEF
E00000786,Urban,UCEF
E00000787,Urban,UCEF
E00000788,Urban,UCEF
E00000789,Urban,UCEF
E00000790,Urban,UCEF
E00000791,Urban,UCEF
E00000792,Urban,UCEF
E00000793,Urban,UCEF
E00000794,Urban,UCEF
E00000795,Urban,UCEF
E00000796,Urban,UCEF
E00000797,Urban,UCEF
E00000798,Urban,UCEF
E00000799,Urban,UCEF
E00000800,Urban,UCEF
E00000801,Urban,UCEF
E00000802,Urban,UCEF
E00000803,Urban,UCEF
E00000804,Urban,UCEF
E00000805,Urban,UCEF
E00000806,Urban,UCEF
E00000807,Urban,UCEF
E00000808,Urban,UCEF
E00000809,Urban,UCEF
E00000810,Urban,UCEF
E00000811,Urban,UCEF
E00000812,Urban,UCEF
E00000813,Urban,UCEF
E00000814,Urban,UCEF
E00000815,Urban,UCEF
E00000816,Urban,UCEF
E00000817,Urban,UCEF
E00000818,Urban,UCEF
E00000819,Urban,UCEF
E00000820,Urban,UCEF
E00000821,Urban,UCEF
E00000822,Urban,UCEF
E00000823,Urban,UCEF
E00000824,Urban,UCEF
E00000825,Urban,UCEF
E00000826,Urban,UCEF
E00000827,Urban,UCEF
E00000828,Urban,UCEF
E00000829,Urban,UCEF
E00000830,Urban,UCEF
E00000831,Urban,UCEF
E00000832,Urban,UCEF
E00000833,Urban,UCEF
E00000834,Urban,UCEF
E00000835,Urban,UCEF
E00000836,Urban,UCEF
E00000837,Urban,UCEF
E00000838,Urban,UCEF
E00000839,Urban,UCEF
E00000840,Urban,UCEF
E00000841,Urban,UCEF
E00000842,Urban,UCEF
E00000843,Urban,UCEF
E00000844,Urban,UCEF
E00000845,Urban,UCEF
E00000846,Urban,UCEF
E00000847,Urban,UCEF
E00000848,Urban,UCEF
E00000849,Urban,UCEF
E00000850,Urban,UCEF
E00000851,Urban,UCEF
E00000852,Urban,UCEF
E00000853,Urban,UCEF
E00000854,Urban,UCEF
E00000855,Urban,UCEF
E00000856,Urban,UCEF
E00000857,Urban,UCEF
E00000858,Urban,UCEF
E00000859,Urban,UCEF
E00000860,Urban,UCEF
E00000861,Urban,UCEF
E00000862,Urban,UCEF
E00000863,Urban,UCEF
E00000864,Urban,UCEF
E00000865,Urban,UCEF
E00000866,Urban,UCEF
E00000867,Urban,UCEF
E00000868,Urban,UCEF
E00000869,Urban,UCEF
E00000870,Urban,UCEF
E00000871,Urban,UCEF
E00000872,Urban,UCEF
E00000873,Urban,UCEF
E00000874,Urban,UCEF
E00000875,Urban,UCEF
E00000876,Urban,UCEF
E00000877,Urban,UCEF
E00000878,Urban,UCEF
E00000879,Urban,UCEF
E00000880,Urban,UCEF
E00000881,Urban,UCEF
E00000882,Urban,UCEF
E00000883,Urban,UCEF
E00000884,Urban,UCEF
E00000885,Urban,UCEF
E00000886,Urban,UCEF
E00000887,Urban,UCEF
E00000888,Urban,UCEF
E00000889,Urban,UCEF
E00000890,Urban,UCEF
E00000891,Urban,UCEF
E00000892,Urban,UCEF
E00000893,Urban,UCEF
E00000894,Urban,UCEF
E00000895,Urban,UCEF
E00000896,Urban,UCEF
E00000897,Urban,UCEF
E00000898,Urban,UCEF
E00000899,Urban,UCEF
E00000900,Urban,UCEF
E00000901,Urban,UCEF
E00000902,Urban,UCEF
E00000903,Urban,UCEF
E00000904,Urban,UCEF
E00000905,Urban,UCEF
E00000906,Urban,UCEF
E00000907,Urban,UCEF
E00000908,Urban,UCEF
E00000909,Urban,UCEF
E00000910,Urban,UCEF
E00000911,Urban,UCEF
E00000912,Urban,UCEF
E00000913,Urban,UCEF
E00000914,Urban,UCEF
E00000915,Urban,UCEF
E00000916,Urban,UCEF
E00000917,Urban,UCEF
E00000918,Urban,UCEF
E00000919,Urban,UCEF
E00000920,Urban,UCEF
E00000921,Urban,UCEF
E00000922,Urban,UCEF
E00000923,Urban,UCEF
E00000924,Urban,UCEF
E00000925,Urban,UCEF
E00000926,Urban,UCEF
E00000927,Urban,UCEF
E00000928,Urban,UCEF
E00000929,Urban,UCEF
E00000930,Urban,UCEF
E00000931,Urban,UCEF
E00000932,Urban,UCEF
E00000933,Urban,UCEF
E00000934,Urban,UCEF
E00000935,Urban,UCEF
E00000936,Urban,UCEF
E00000937,Urban,UCEF
E00000938,Urban,UCEF
E00000939,Urban,UCEF
E00000940,Urban,UCEF
E00000941,Urban,UCEF
E00000942,Urban,UCEF
E00000943,Urban,UCEF
E00000944,Urban,UCEF
E00000945,Urban,UCEF
E00000946,Urban,UCEF
E00000947,Urban,UCEF
E00000948,Urban,UCEF
E00000949,Urban,UCEF
E00000950,Urban,UCEF
E00000951,Urban,UCEF
E00000952,Urban,UCEF
E00000953,Urban,UCEF
E00000954,Urban,UCEF
E00000955,Urban,UCEF
E00000956,Urban,UCEF
E00000957,Urban,UCEF
E00000958,Urban,UCEF
E00000959,Urban,UCEF
E00000960,Urban,UCEF
E00000961,Urban,UCEF
E00000962,Urban,UCEF
E00000963,Urban,UCEF
E00000964,Urban,UCEF
E00000965,Urban,UCEF
E00000966,Urban,UCEF
E00000967,Urban,UCEF
E00000968,Urban,UCEF
E00000969,Urban,UCEF
E00000970,Urban,UCEF
E00000971,Urban,UCEF
E00000972,Urban,UCEF
E00000973,Urban,UCEF
E00000974,Urban,UCEF
E00000975,Urban,UCEF
E00000976,Urban,UCEF
E00000977,Urban,UCEF
E00000978,Urban,UCEF
E00000979,Urban,UCEF
E00000980,Urban,UCEF
E00000981,Urban,UCEF
E00000982,Urban,UCEF
E00000983,Urban,UCEF
E00000984,Urban,UCEF
E00000985,Urban,UCEF
E00000986,Urban,UCEF
E00000987,Urban,UCEF
E00000988,Urban,UCEF
E00000989,Urban,UCEF
E00000990,Urban,UCEF
E00000991,Urban,UCEF
E00000992,Urban,UCEF
E00000993,Urban,UCEF
E00000994,Urban,UCEF
E00000995,Urban,UCEF
E00000996,Urban,UCEF
E00000997,Urban,UCEF
E00000998,Urban,UCEF
E00000999,Urban,UCEF
E00001000,Urban,UCEF
E00001001,Urban,UCEF
E00001002,Urban,UCEF
E00001003,Urban,UCEF
E00001004,Urban,UCEF
E00001005,Urban,UCEF
E00001006,Urban,UCEF
E00001007,Urban,UCEF
E00001008,Urban,UCEF
E00001009,Urban,UCEF
E00001010,Urban,UCEF
E00001011,Urban,UCEF
E00001012,Urban,UCEF
E00001013,Urban,UCEF
E00001014,Urban,UCEF
E00001015,Urban,UCEF
E00001016,Urban,UCEF
E00001017,Urban,UCEF
E00001018,Urban,UCEF
E00001019,Urban,UCEF
E00001020,Urban,UCEF
